Scene number,Start,End,Keywords,Description
0,00:00:00.000,00:55:40.040,"thành phố Hồ Chí Minh,Đức,Hàn Quốc,phở Nam Định,Trung Quốc,Sài Gòn,Hongkong,tháng 12,căn cước công dân,quý vị,Tổng thống Ma cót,Triều Tiên,Qatar,Ukraine,,năm 2022,Nghị quyết 31,năm 2023,khoa học công nghệ,Mỹ,hàng phở,kinh tế xã hội,kính chào quý vị,xương khớp,hàng viện trợ,hoa hồi,dân ta,số lượng xe,Bắc Kinh,Quận ủy quận Tân Phú", 
1,00:00:00.000,00:02:07.720, ,"kính chào quý vị, Mời quý vị theo dõi chương trình Thời sự của Đài truyền hình thành phố Hồ Chí Minh hôm nay thứ hai ngày 3/1/2023."
2,00:02:07.720,00:02:17.800, ,"kính chào quý vị, Mời quý vị theo dõi chương trình Thời sự của Đài truyền hình thành phố Hồ Chí Minh hôm nay thứ hai ngày 3/1/2023."
3,00:02:17.800,00:02:25.800, ,"kính chào quý vị, Mời quý vị theo dõi chương trình Thời sự của Đài truyền hình thành phố Hồ Chí Minh hôm nay thứ hai ngày 3/1/2023."
4,00:02:25.800,00:02:47.680,Hồ Chí Minh kiến nghị,Chương trình Toán nay có một số nội dung chính sau đây:
5,00:02:47.680,00:02:52.200,Hồ Chí Minh kiến nghị,"thành phố Hồ Chí Minh kiến nghị nhiều cơ chế giúp doanh nghiệp thúc đẩy sản xuất, tháo gỡ khó khăn cho các dự án đầu tư"
6,00:02:52.200,00:02:56.520,Nhà Bè,"việc Nhà Bè có 7 xã, thị trấn được công nhận xã an toàn khu."
7,00:02:56.520,00:03:01.240,"xe đăng kiểm,Tết",lượng xe đăng kiểm đông trở lại ở ngày đầu tiên sau khi nghỉ Tết nhưng.
8,00:03:01.240,00:03:05.800,"xe đăng kiểm,Tết",lượng xe đăng kiểm đông trở lại ở ngày đầu tiên sau khi nghỉ Tết nhưng.
9,00:03:05.800,00:03:10.000,"quý vị,công tác năm 2022,Tổng Bí thư Nguyễn Phú Trọng,63 tỉnh,Hội nghị trực tuyến Chính phủ","thưa quý vị, sáng nay, Tổng Bí thư Nguyễn Phú Trọng đã dự và phát biểu chỉ đạo tại Hội nghị trực tuyến Chính phủ với 63 tỉnh, thành phố nhằm tổng kết công tác năm 2022 và triển khai kết luận của Trung ương, Nghị quyết của Quốc hội khóa 15 về kế hoạch phát triển kinh tế xã hội năm 2023."
10,00:03:10.000,00:03:31.800,"Thủ tướng Chính phủ,năm thứ 35 bản lề,thứ hai,da giày,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Bí thư Thường trực,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,thị trường bất động sản,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,kinh tế xã hội,miền Đông,điểm cầu thành phố Hồ Chí Minh,Trung ương Đảng,ngành Trung ương,năm 2023,Nghị quyết 2,thắng lợi Nghị quyết 24,cơ sở lành mạnh hóa,năm 2023 ý nghĩa,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
